"site_id","notes"
240,"Vegetation: Tropical rainforest. \\ Corr_age in AN4 (entity_id = 521) and AN8 (entity_id = 522) are calibrated 14C ages (cal yr BP; 1950 CE) given as the mid-point of the calibrated age range. AN4 (entity_id = 521) and AN8 (entity_id = 522) were collected from two opposite corners of the same cave separated by c.25m. Date with lab_num=PRL-3229 (dating_id = 9624; depth_dating = 80) in AN4 (entity_id = 521) is not on central growth axes and was no used to create the age model."
242,"Geology: Micritic to fine dolomite, cave breccia and micritic and brecciaous micritic limestone."
244,"Vegetation: Temperate deciduous broadleaf trees. \\ Entities LH4, LH5 and LH9 (entity_id = 529, 530, 532): All three records completely supersede records in Dong et al. (2015) (10.1016/j.palaeo.2015.06.013) which are not in the SISAL database."
245,"NK-1305 (entity_id = 534): The USGS standard W-2 was used as the calibration standard for trace element measurements using the protocol of Eggins et al. (1997). XRD suggests mixture of aragonite and calcite of varying proportions."
250,"Laminae counting of WY27 (entity_id = 542) and WY33 (entity_id = 543) constrained by 210Pb dating (samples not in db)."
253,"According to publication, isotopic signal in Hq-1 (entity_id = 546) is exaggerated by kinetic fractionation: magnitude of change not reliable proxy, direction of change likely reliable. Although original publication states continuous growth of STM1 (entity_id = 547), we have identified a possible hiatus between depth_sample = 427.5mm (sample_id = 349662) and depth_sample = 428.5mm (sample_id = 349663)."
254,"The host rock of site PP29 (site_id = 254) is Table Mountain Sandstone, a Paleozoic quartzite. The carbonate sources are overlying Pleistocene calcretes and aeolianites. Land use: Mix of a golf course with natural shrubland vegetation and some built-up structures. The age models of 46745, 46746-a, 46747, 138862.1, 139962.2a, 142828, 46746-b, 138862.2b (entity_id = 549, 550, 551, 552, 553, 554, 555, 556) are based on ages not corrected for detrital thorium. The age model for 46747 (entity_id = 551) has been corrected from publication to use the correct depth_dating = 22mm for dating_id = 9929 (the depth used in the published age model was 21mm by mistake). PP29_composite (entity_id = 839) is a composite record of the entities 46745, 46746-a, 46746-b, 46747, 138862.1, 138862.2a, 138862.2b, 142828 (entity_id = 549, 550, 555, 551, 552, 553, 556, 554). The composite records was constructed by compiling all data into a single table and sorting them by their linear interpolation age followed by smoothing with a 3-point running mean."
255,"The Isochron age (dating_id = 9972) is used in the original OXCAL age model and its use is recommended to recalculate the age model. If original chemistry is required to recalculate corrected ages then the axis age (dating_id = 9968 at depth_dating = 813.7mm) is an acceptable alternative to the isochron age."
256,"Only U/Th dates with lab_num=LFG 2k (dating_id = 10003) and lab_num=LFG 2l (dating_id = 10004), were corrected because of their low 230/232Th ratios."
257,"Vegetation and land use: Tree growth in what appears to be a dried up river bed and evidence of farming in close proximity (ploughed field). \\ 2p (entity_id = 559): Original publication suggests a laminae age uncertainty of +/-2-3%."
258,"STAL-B7-7 (entity_id=560) has unclear U isotope notation in the original paper (dU). Because of this, U isotope data is missing in the dating table."
259,"Entity PA-8 (entity_id = 561): Some U-Th ages are outside the range of the isototpe sampling. The published age model was created using laminae data not provided here. NIST SRM 612 was used for calibration of the element concentrations. For most elements, the measured concentrations on NIST SRM 614 and USGS MACS-3 agree within 13% with the preferred values reported in the GeoReM database and the mean values of Jochum et al. (2012), respectively. For the QCM, relative standard deviations for the averaged element concentrations were typically <10%."
260,"The identification of calcite layers in CA (entity_id = 562) is approximate because a proper mineralogical study has not been done."
262,"Vegetation is mixed farmland, evergreen and deciduous forest."
266,"Land use: Former mine, shrubland, sparse vegetation. \\ Age used for DO 18 is an calculated age on the basis of three entities Vic-III-1, Vic-III-3, SR01t (entity_id = 697, 698, 699) covering Dansgaard/Oeschger event 18. This is then used for the age models."
268,"PN-95-5_2018 (entity_id = 714): Certified reference materials (NIST 610, NIST 612, NIST 614, MACS-1 and MACS-3) were used to make the concentration calibration curves. Comparison between reference values and measured values was satisfactory within 65–98%. For Ba, Sr and Mg, the reproducibility was higher than 76%."
269,"Vegetation: Shrubs and grasses. Land use: No use observed but possible grazing. \\ Gej-1 (entity_id = 573) Depth sample is the adjusted depth after lamina counting and U-Th -depth correspondance. The interpolated age is via layer counting and U-Th dating. The trace element sampling was performed on the upper half (19 cm) at 0.008mm depth spacing"
270,"Vegetation: Sparse alpine brushes. \\ Entity GZ-14-1 (entity_id = 574) is located at the back of the cave. Bedrock of site_id = 270 is Tertiary in age (period not specified). The 230Th_238U_activity and 234U_238U_activity ratio uncertainty are given with 1s."
271,"Vegetation: Open dry eucalyptus forests. \\ Author downsampled using running mean/average. This has been further downsampled by SISAL to give binned averages at stable isotope equivalent depths."
273,"Entity CRC-3 (entity_id = 577): Two different values of the atm ratio used to correct U/Th ages are provided in the original publication."
275,"Entity BG6LR (entity_id = 587): Sampling gap between sample_id 363143 and 363144 (depth = 254.5 and 764.5)."
276,"Vegetation: The majority of the catchment area is covered by forest and meadow. Cover type: The typical soil types in the area are Rendzina, and Cambisol-Terra. \\ The ages between detph_dating = 3.4mm and depth_dating = 19.65 mm in entity BNT-2 (entity_id = 613) were obtained by fitting the measured pMC values to the IntCal13 (Reimer et al., 2013) dataset. This approach defined the 5% dead carbon applied in deeper sections. See publication for details."
277,"PeruMIS6Composite (entity_id = 602) created from splicing three original records: P09-H1b (entity_id = 599), P10-H5 (entity_id = 600) and P10-H2 (entity_id = 601)."
278,"PP1 (entity_id = 613) data not available in original publication and assumed to be the same than other publications from same authors: iso_precision=0.1; decay_constant=Cheng et al., 2000. Mineralogy inferred from U content. Some U/Th dates were measured twice and the weighted average was used for the age model (samples with lab_num ending with '_wa). The individual U/Th dates were hence set to date_used = no."
279,"The host rock of Staircase (site_id = 279) is Table Mountain Sandstone, a Paleozoic quartzite. The carbonate sources are overlying Pleistocene calcretes and aeolianites. Land use: Golf course with natural Mediterranean shrubland vegetation (Fynbos) and some built-up structures. \\ The age models of 46322, 46330-a, 46330-b, 46861, 50100, 142819, 142820 (entity_id = 624, 625, 630, 626, 627, 628, 629) are based on ages not corrected for detrital thorium. \\ Staircase_composite (entity_id = **) is a composite record of the entities 46322, 46330-a, 46330-b, 46861, 50100, 142819 and 142820 (entity_id = 624, 625, 630, 626, 627, 628, 629) (all samples published in the same publication as this composite record). The composite record was constructed by compiling all data into a single table and sorting them by their linear interpolation age followed by smoothing with a 3-point running mean."
280,"Entity AH-1 (entity_id = 639): Original age model not in the database because of the existence of age inversions. The sisal_chronologies for entity_id = 639 were run manually."
281,"ISO-1 (dating_depth = 0mm, dating_id = 11393) from entity V1 (entity_id = 640) is derived from isochron subsamples A (dating_id = 11390), B (dating_id = 11391) and C (dating_id = 11392). ISO-2 (dating_depth = 314.5mm, dating_id = 11402) from entity V1 (entity_id = 640) is age derived from isochron subsamples 124 (dating_id = 11399), 125 (dating_id = 11400) and 126 (dating_id = 11401). ISO-1 (dating_id = 11393) and ISO-2 (dating_id = 11402) were corrected with the initial 230Th/232Th ratio derived from the isochrones. For the other non-isochron samples, the authors chose an initial 230Th/232Th ratio between both isochrones. Age model of entity V1 (entity_id = 640) constructed using a fifth-order polynomial visually weighted to follow the most robust age determinations."
282,"Entity WS-5d (entity_id = 691) does not have age model in original publication. The sisal_chronologies for entity_id = 691 were run manually."
286,"The elevation of the cave (85 masl) differs with the elevation of the lower gallery from which La Garma speleothems were collected (59 masl). The C14 data (not provided here) is available in Rudzka et al., 2011 (10.1016/j.gca.2011.05.022). GAR-01_drill (entity_id=650) and GAR-01_laser data (entity_id= 651 and 652) were obtained from GAR-01 stalagmite using a handheld conventional drill (drill) at ~2.2 mm spatial resolution and by laser ablation (LA-GC-IRMS) with a ~500 micron resolution. GAR-01_laser_d13C (entity_id=652) and GAR-01_laser_d18O (entity_id=651) series are treated separately in the database because there is a small non-constant offset in the corresponding age-depth models. Baldini et al., 2015 (10.1016/j.epsl.2015.03.015) used the StalAge Algorithm but the ages determined using COPRA are provided here. There is excellent agreement between the two age models over the Younger Dryas Interval (see Baldini et al., QSR, in review)."
287,"Vegetation: Rainforest dominated by podocarp and hardwood-broadleaf species, although has been subject to forest clearance over the last 100 years. Rock age: Tertiary. \\ Entity TF-2 (entity_id = 653): Dating information at 195mm (dating_id = 11564) is not published. Primary data sheet supplied to SISAL has TIMS ages at 33mm (dating_id = 11562) and 130mm (dating_id=11563) that appear 4 years younger than what is published in Williams et al., 2005. The latter have been used here."
288,"Vegetation: Rainforest dominated by podocarp and hardwood-broadleaf species, although has been subject to forest clearance over the last 100 years. Rock age: Tertiary. \\ WN-4 (entity_id = 654): The dating_id=11567 at 205mm used to calculate interp_age differs from published data by 18 years. WN-11 (entity_id = 655): There is a discrepancy of up to 5 years in the corr_ages with respect to published values. The corr_ages presented here are those used to create the original_chronology fields."
292,"Vegetation: Sparse Mediterranean sclerophyllous scrub characterised by Quercus coccifera and Phlomis fruticosa (Iliopoulou-Georgudaki and Economidou, 1991). \\ Entity KTR-2 (entity_id = 671): Despite the mentioned presumed minor hiatus in the original paper, this has not been added here following authors' suggestion. The thickness of the limestone varies from a few tens to a few hundred meters, see original reference. According to Peter Rowe, a negative age uncertainty of -39 yrs was erroneously reported by StalAge at interp_age 10642.62 yr BP (dating_id = 400608). This has not been entered here."
293,"Entity TM-17 (entity_id = 672): U/Th date at 27mm (dating_id = 11833) was not used in age model due to high uncertainty. The chronology was constructed from continuous Sr laminae anchored to the U-Th dates. Age-depth model uncertainties include the layer counting errors as well as the average LC error of 3% propagated between the U-Th error bars (see supplementary material of publication for details). Corrected ages assume the initial 230Th/232Th atomic ratio of 5.38 with a positive uncertainty of 5.38 and a negative uncertainty of 4.84 ppm. Entity TM5, TM4, TM11 (entity_id = 856, 857, 858) age model: iscam."
294,"Entity PA-2b (entity_id = 684): Isotope samples at 127 and 127.5mm removed because of their proximity to the hiatus at 127.25 mm."
296,"Layer counting based on grey scale data. Standards NIST 614 and NIST 612 used."
297,"BA18-4 (entity_id = 739): Matrix macthed in-house standards used for trace element measurements."
298,"BLM-1 (entity_id = 740): Two different age models were originally created for stable isotope and trace element data. The trace element data against that age model are given in the trace_elements_datafile. Trace element data and stable isotope equivalent depths are given in this sheet. Trace element sample thickness is 3 mm. A synthetic limestone standard, JLs-1 and a Dolomite standard Jdo-1 were used for calibration."
299,"Land use: Forest of native vegetation and introduced vegetation and pasture. Geology: Limestone with local dolimitization. \\ The full splice record includes stalagmites from 3 caves, La Vallina , Pindal Cave, and Calabrez (site_id = 324, 87, 299)."
300,"Vegetation: Grassland with some eucalypts. CC14-6 (entity_id = 742) Trace element standard: ANU internal coral standard. \\ Age model: Radiocarbon ages are modelled ages from 23 indiviudal measurements. Ages use weibull distributions with scale and shape paramters of 7 and 1.9. Age model uses Undatable, modified to include Weibull uncertainty."
301,"Entities WC and WB (entity_id = 744, 743): Bomb-pulse chronology."
302,"The host rock of the site is a Palaeozoic quartzite, the source of the carbonate to form speleothems are overlying aeolianites of Pleistocene age. Current land_use above the cave is a mix of a golf course, shrubland and built-up structures. \\ Entity Crevice_composite (entity_id = 745) is a composite record of the entities 32206, 46623, 46624, 46856-1C2, 46857-SA3, 46859-SA4, 50103, 110620 (age models for individual samples no longer avaialable). The composite records was constructed by choosing the samples with the highest resolution and good overlap with the stable isotope records of other samples"
303,"CRY-S1 (entity_id = 746) Depth laminae: Depths are annual laminae determine from Sr concentrations by synchrotron XFM. Age model type: Laminae age-depth model was linearly interpolated to d18O and d13C sample depths."
304,"Vegetation:C3 plants and epipytic orchid species."
305,"Vegatation and land use: Forest of native vegetation, introduced vegetation, and pasture. Limestone with local dolimitization. \\ Neith_2022 (entity_id = 748) Age model is based on U-Th ages and tuning to stalagmite Garth (entity_id = 806) within the Bchron age model error of Neith_2022."
307,"Vegetation: Natural Fynbos and Renosterveld. Land use: Limited. \\ Efflux_composite (entity_id = 755) was constructed using the entities 142843, 142846, 142847, 142848 and 142849 (entity_id = 756, 757, 758, 759, 760)."
308,"There are two age models for entity Slab 1, which is treated as having two separate entities. The first is a standard Stalage model called entity GD8-1 Slab 1 (entity_id = 761). The second is the Stalage model plus orbital tuning called entity GD8-1 Slab 1 orb (entity_id = 762)."
309,"Mixed Geology: the hostrock above the cave consists of a 25m thick layer of sandy limestone intercalated with some marl and mudstone, above this layer there is another 20m of calcareous sandstone, silt, carbonate rich shale and marl. \\ GM1 (entity_id = 764) For this specific speleothem it is unknown whether the drip water and modern calcite are in equilibrium, but in other places in this region most drips and modern calcite are not in equilibrium. Mixed age model: U series ages and lamina counting combined. Modern Reference for lamina counting is the year of U-Th chemistry as the lamina counts were anchored using U-Th dates. Annual lamination is based on comparison of the lamination to other speleothems from the same region - in these other speleothems similar lamination has been shown to be annual by radiometric dating. GM1 laminae are similar in thickness and appearance to those other speleothems. Examination of thick sections of GM1at various levels of the growth phases (Fig. 2) showcontinuous and regular visible laminaewith alternating brownish calcite (Dark Compact Laminae, DCL) and thinner white calcite (White Porous Laminae,WPL) as defined by Genty and Quinif (1996) and Genty et al. (1997). The presence of fine sediments on the white porous calcite, and some dissolution features at the top of the DCL, suggests some seasonal infiltration variability (cf. Borsato et al., 2007). Overall, the regularly alternating DCL/WPL laminae sequence, even without more obvious structures from infiltration variability, indicate deposition under a seasonal hydroclimate regime (e.g. changes in dripwater supersaturation or cave air CO2 concentration), where recharge was sufficient to maintain continuous dripping to the stalagmite. Sample data: the stable isotope and trace element analyses were done on powder aliquots that were separately drilled, however data with the same interpolated age (interp_age) were combined together using the depth value of the stable isotope analysis in the original dataset."
310,"GL-S1 (entity_id = 765) For 1920-2005 CE interval: bomb pulse ADM and year of collection (2005 CE). 1000-1920 CE interval: U/Th age ADM (17th percentile used). \\ GL-S2 (entity_id = 766) For 1330-2005 CE interval: combined ADM using laminae count between 0-13.6 mm scaled to two tie-points (1950 CE in the bomb pulse ADM and the year of collection 2005; scaling of 88% applied) and U/Th ages measurements. \\ GL-S4 (entity_id = 768) For 1200-2012 CE interval: Sr laminae counting and year of collection was used as the ADM presented in Treble et al 2022. The lamaine count is supported by the U/Th age measurements and the 'bomb pulse method using the 14C age measurements. Stalagmites GL-S1, GL-S2, GL-S3 and GL-S4 were collected from actively depositing drip sites during the years: GL-S1 2005, GL-S2 2005, GL-S3 2008 and GL-S4 2012 CE. Hiatus identified by bracketing U/Th ages and in thin section. Drips have been classified in Hydrol. Earth Syst. Sci., 20, 359–373, 2016; & see Treble et al 2022. Farmed calcite experiments carried out at each stalagmite site indicate a consistent fractionation factor for each site. See Treble et al 2022."
311,"HW-S1, HW-S2, HW_38b (entity_id = 769, 770, 771) Drip type: combination of fast fracture flow and slow fracture flow pathways. Dating: Bomb pulse carbon 14 model."
313,"Vegetation: Patchy meadow and deciduous forest. \\ Cover: 60 cm-thick cambisol (Terra fusca). Land use: mixed forest and farmland. HLK2, NG01, TV1_2021, TV1_2020 (entity_id = 773, 774, 775, 776) NIST SRM 612 and MACS-3 used. Internal Ca standard used for normalising. Missing values for 232Th of TV1 were below detection limit."
314,"The host rocks of the cave are metasediments that are metamorphosed to greenshist facies, mostly biotite, muscovite and chlorite shists with some carbonate While this host rock contributes to the carbonate source for the speleothems, the main sources are unconsolidated Pleistocene sand deposits on top of the cliff. Vegetation: Shrubland not used for grazing or agriculture. \\ Herolds_bay_composite (entity_id = 777) was constructed using the entities 162520, 162527-1, 162527-2 and 162528 (entity_id = 778, 779, 781, 780). Individual records from the same publicatiuon as the composite. The composite records was constructed by compiling all data into a single table and sorting them by their linear interpolation age followed by smoothing with a 3-point running mean."
315,"Vegetation: Grass, undershrub and secondary forest. Land use: House. \\ HC2 (entity_id = 782) Sr/Ca and Mg/Ca precision is about 1%. Trace element measurement method: ICP OES."
316,"HBSH-3, HBSH-4, HBSH-5 (entity_id = 784,785,786): Sr isotopes have been measured using MC ICPMS. Sr isotope data for HBSH-3, HBSH-4 and HBSH-5 have a much lower resolution than stable isotope and trave element data, therefore they appear on a different age/depth scale than trace element and stable isotope data. Trace element and stable isotope data for HBSH-1 and HBSH-5 are on different depths, therefore, different age models using StalAge. This data is given in the trace elements datafile. Note the different kind of uncertainties between the different datasets. Stable isotope and trace element uncertainty is given as 1σ, while Sr isotopes are reported with 2 SE uncertainty"
318,"Sample data tab: Entity J13; The following interp_age occured more than once: 260.0, 270.0, 280.0, 290.0, 300.0, 320.0, 390.0, 450.0, 2290.0, 2310.0, 2320.0, 2340.0, 2350.0, 2360.0, 2380.0, 2390.0, 2410.0, 2420.0, 2430.0, 4610.0, 4620.0, 4640.0, 4650.0, 4660.0, 5480.0, 10360.0, 10370.0, 10380.0, 10390.0, 10400.0, 10410.0, 10420.0, 10430.0, 10440.0, 10450.0, 10460.0, 10470.0, 10480.0, 10490.0, 10500.0"
320,"KT-3 (entity_id = 793): The interp_age_uncert is the associated 1 sigma error (kyr). Trace elements and stable isotopes measured at different depths. Approximate corresponding depths for trace element measurements given here. Sr/Ca, Mg/Ca and Ba/Ca samples drilled every 10 mm, stable isotopes data measured every 1 mm. Reference standard: CRM00028 calcite"
322,"NIR_composite (entity_id = 801) is a composite of NIR-1 and NIR-2 (entity_id = 799, 800). The interp_age_uncert is the associated 1 sigma error (yr)."
323,"K4_kyok (entity_id = 802) Mg/Ca data do not cover the entire interval sampled for stable isotopes. Mg/Ca data were originally at double the resolution of stable-isotope data. Age model: Linear interpolation and a Monte Carlo approach using MOD-AGE"
324,"Forest of native vegetation, introduced vegetation and pasture. Some dolomitization. \\ Age model is based on U-Th ages and tuning to stalagmite Garth (entity_id = 806) within the Bchron age model error of Gael_2022 (entity_id = 803). Data for Galia, Luna and Gulda is part of a splice record. The full splice includes stalagmites from 3 caves, La Vallina, Pindal Cave, and Calabrez (site_id = 324, 87, 299). Full splice is available at 10.3929/ethz-b-000545925. Calibration method ICP-AES: intensity ratio calibration (de Villiers et. Al, 2002)."
327,"The second age–depth model spanned the 110 ka to 45 ka time period, and it is partially presented by both speleothems MP-2 and MP-3 (entity_id = 815, 816). In order to produce a single age–depth model, the chronology data from both speleothems was merged. In the tuning protocol, the MP-2 dataset was used as the main record because it covered the longer time span compared to the MP-3 speleothem. Eight tie points were selected in MP-3, i.e., the MP-2 δ18O depth profiles, to transpose δ18O and δ13C as well as the corresponding U-Th data of the MP-3 speleothem onto the MP-2 depth scale. Tuning and tie point selection was performed based on visual similarity between the two δ18O depth series. Linear interpolation was performed in between tie points to transpose all MP-3 data onto the MP2 depth scale. Original depth uncertainty of the MP-3 U-Th samples was increased for at least 25% to account for an extra error introduced by this tuning protocol and this increased uncertainty was then applied in the age–depth modelling procedure. All accepted ages are in stratigraphic order as presented in Figure 3b."
329,"MAT1, MAT12, MAT23 (entity_id = 818, 819, 820): Data on percentage aragonite in samples given in the publication."
330,"Vegetation: Shrubs and pine forests."
331,"MS-composite made up of 3 stalagmites MS-1, MS-2 and MS-3 (entity_id = 823, 824, 825)."
333,"Vegetation: Spruce to alpine grassland."
334,"Vegetation: Mixed deciduous and evergreen. \\ NG-3 (entity_id = 831): Dating table differs from the published. In the paper the top (Event; actively forming) is marked at 0.5 mm with a corrected age of 5 years. In this dataset it has been changed to 0 mm without any given corresponding corrected age."
336,"Fluid inclusions and clumped data are available from authors upon request."
338,"Vegetation: Oak, juniper and mastic. \\ Constantine (entity_id = 837): The mean external reproducibility (2s) for Sr/Ca, Mg/Ca and Ba/Ca ratios was 3.85 %, 4.00 % and 12.30 %, respectively."
339,"Land use: Concrete and build up in the vicinity, not directly above the cave. \\ PC (entity_id = 842): The ages and their 2σ uncertainties were used in StalAge and COPRA to produce the age model. Both algorithms produced a comparable age–depth curve. To minimize intrinsic artefacts produced by the two algorithms, including unrealistic maxima in growth rate and unjustified large uncertainty propagation, the final age model was obtained by linear regression of average age values between StalAge and COPRA models at the same depths."
341,"Vegetation: High altitude tropical forest."
342,"Séan, Multieix, Ciara, Feni (entity_id = 842, 843, 844, 845): The mean external reproducibility (2s) for Sr/Ca, Mg/Ca and Ba/Ca ratios was 3.85 %, 4.00 % and 12.30 %, respectively (Cisneros et al., 2021)"
343,"drip type: supposed seasonal drip"
344,"SAR-12-1 (entity_id = 848): Sr/Ca data first smoothed with a 20-point LOESS in Matlab, then downsampled to stable isotope data depths. Distance from cave entrance is a minimum value."
345,"Vegetation: Alpine grassland and some spruce."
346,"SJJ7 (entity_id = 851) Age model: ModAge (Hercman and Pawlak, 2012)."
348,"LA-ICP-MS high resolution trace metal data is attached separately"
349,"Sr_Ca method: XRF, data in cps units growth rate data available on NOAA"
350,"Vegetation: Caating (Savanna), unique biome from semi-arid Northeast Brazil."
352,"Geology: Stony, colluvial, rockland limestone, and rockland sandstone."
353,"WIN1, WIN2, WIN3 (entity_id = 867, 868, 869) Age model type: StalAge, COPRA, OxCal used to generate age models. Unsure which age model was used for final data."
354,"Wu88 (entity_id = 872) Trace element measurements: Ca with ICP-OES. Mg,Sr and Ba with ICPMS."
355,"Vegetation: Mixed evergreen and shrubland. \\ XN2 and XN15 (entity_id = 874, 875) The age model is based on laminae counts and anchored to the 230Th chronology using the least squares method. XN_composite (entity_id = 876) formed of entities XN2 and XN15."
356,"Vegetation: Perennial subtropical evergreen broad-leaved forest (C3-type vegetation) and shrubs, including Pinus massoniana, Cyclobalanopsis glauca and Pistacia chinensis, etc. \\ YZ1 (entity_id = 878) Duplicate stable isotope samples at depths 575 and 681mm were averaged. d18O: -10.75 & -11.25 and -7.77 & 7.86 for depths 575 and 681 mm respectively. d13C: -8.23 & -8.59 and -5.45 & 5.12 for depths 575 and 681 mm respectively."
357,"See McDonough et al 2022 GCA for all methods used for speleothem data. See Nagra et al 2016 HESS for dripwater data.YD-S2 (entity_id = 879) Depth_laminae: depths are annual laminae determine from Sr concentrations by synchrotron XFM and fabric in thin section. Age_model_type: laminae counting were used for age-depth model for trace elements and for d18O and d13C (linearly interpolated to sample depth). Sample_Data: for trace elements, these are the data downsampled for first PCA in McDonough et al 22. Data has been interpolated to the stable isotopes (0.1 mm resolution). Metals Pb, Al, Zn, Cu are excluded."
359,"Zoo-rez-1 and Zoo-rez-2 (entity_id = 881, 882) downscaling of the isotope and trace element data was done as annual mean values depending on the lamina thickness. Dating: 14C measured for the detection of the bomb peak."
360,"Rock age: The cave is cut in dolomite (Triassic) ~700 m thick and overlain by ~300 m of limestone (Jurassic). Vegetation: Infiltration from a karst plateau (~1600–1800 m a.s.l.) covered by evergreen forest, with additional infiltration from the mountain flank (~800–1000 m a.s.l.) covered by deciduous forest."
361,"Ko-1 (entity_id = **) The precisions for δ18O and δ13C are 1s. In-house eBlue calcite standards and NIST-SRM612 were used to monitor reproducibility, which was Sr/Ca = 0.236 ±0.0047 (1SE), 0.416 ±0.013 (1SE) and Mg/Ca = 1.48 ±0.02 (1SE), 3.12 ±0.12 (1SE) mmol/mol respectively. In the Sample Data table the SE for the NIST-SRM312 are inserted."
362,"LAB-S1 (entity_id = 888) There are two transects of trace element data measured for this sample. Both transects are in the trace element datafile. Track 1 are the data on the laminae tab, used to construct age model for stable isotopes and downsampled for the database. Depth laminae: Depths are derived from peak counting Sr concentrations."
363,"Geology: Limestone that has been dolomitised in places. Vegetation: Mixed forest and shrubland, oak woodland and chaparral species. \\ LSC2 and LSC3 (entity_id = 889, 890) Age model: iscam."
364,"NAH14 (entity_id = 892): Stalagmite retrieved from submerged sinkhole."
366,"The final age model of SV7 (entity_id = 895) has been tuned to the SV1 (entity_id = 894) age model using the stable isotope series. Three transects spaced 1 mm apart were measured and stacked following the approach of Treble et al. (2003). Trace element profiles of the three transects were aligned using both specific features along the Sr and Ba concentration and petrographic observation. Master profiles for each element were constructed by averaging data from the three scans, resulting in uncertainties in element/Ca ratios of 7% [cf. Belli et al., 2017]"
